title,trilogy,revenue
Star wars,1,775398007
The Empire Strikes Back,1,538375067
Return of the Jedi,1,475106177
The Phantom Menace,2,1027044677
Attack of the Clones,2,649398328
Revenge of the Sith,2,848754768
The Force Awakens,3,2068223624
The Last Jedi,3,1332539889
